[2026-03-28T22:47:16.377Z] GET /api/locations | User: anon
[2026-03-28T22:47:16.398Z] GET /api/menu?locationSlug=the-commons-dining-hall-south-campus&periodSlug=dinner&date=2026-03-28 | User: anon
[2026-03-28T22:47:19.523Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T22:47:19.537Z] GET /api/user/shortcuts | User: anon
[2026-03-28T22:47:19.538Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:48:47.622Z] GET / | User: anon
[2026-03-28T22:48:47.773Z] GET /style.css | User: anon
[2026-03-28T22:48:47.782Z] GET /app.js | User: anon
[2026-03-28T22:48:47.953Z] GET /api/auth/me | User: anon
[2026-03-28T22:48:48.000Z] GET /api/auth/config | User: anon
[2026-03-28T22:48:48.497Z] GET /favicon.ico | User: anon
[2026-03-28T22:48:52.103Z] POST /api/auth/google | User: anon
[2026-03-28T22:48:52.381Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T22:48:52.405Z] GET /api/user/shortcuts | User: anon
[2026-03-28T22:48:52.406Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:49:42.247Z] GET /api/locations | User: anon
[2026-03-28T22:49:42.251Z] GET /api/menu?locationSlug=the-commons-dining-hall-south-campus&periodSlug=dinner&date=2026-03-28 | User: anon
[2026-03-28T22:49:44.626Z] GET /api/menu?locationSlug=the-commons-dining-hall-south-campus&periodSlug=brunch&date=2026-03-28 | User: anon
[2026-03-28T22:49:51.388Z] POST /api/user/logs | User: anon
[2026-03-28T22:49:51.391Z] POST /api/user/logs | User: anon
[2026-03-28T22:49:51.394Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T22:49:51.405Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:49:51.406Z] GET /api/user/shortcuts | User: anon
[2026-03-28T22:51:21.490Z] POST /api/user/goals | User: anon
[2026-03-28T22:51:21.497Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T22:51:21.513Z] GET /api/user/shortcuts | User: anon
[2026-03-28T22:51:21.516Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:51:25.475Z] GET / | User: anon
[2026-03-28T22:51:25.530Z] GET /style.css | User: anon
[2026-03-28T22:51:25.531Z] GET /app.js | User: anon
[2026-03-28T22:51:25.577Z] GET /api/auth/me | User: anon
[2026-03-28T22:51:25.686Z] GET /api/auth/config | User: anon
[2026-03-28T22:51:25.974Z] GET /favicon.ico | User: anon
[2026-03-28T22:51:29.053Z] POST /api/auth/google | User: anon
[2026-03-28T22:51:29.193Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T22:51:29.217Z] GET /api/user/shortcuts | User: anon
[2026-03-28T22:51:29.218Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:51:29.220Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:51:55.507Z] GET / | User: anon
[2026-03-28T22:51:55.557Z] GET /style.css | User: anon
[2026-03-28T22:51:55.558Z] GET /app.js | User: anon
[2026-03-28T22:51:55.575Z] GET /api/auth/me | User: anon
